student_id,name,age,gender,email,phone,education_level,qualification,specialization,background,college_name,graduation_year,cgpa,backlogs,preferred_domain
STU00054,Xiti Goyal,20,Female,xitigoyal7@gmail.com,9477698143,Undergraduate,B.Com,Commerce,No,"Sacred Heart College, Thevara",2026,5.62,Yes,Business Analytics
STU00055,Parth Gandhi,21,Male,parthgandhi225@gmail.com,9393062061,Undergraduate,BCA,Computer Applications,Yes,"Model Engineering College, Kochi",2026,6.78,No,Angular
STU00056,Suhani Mukherjee,26,Female,suhanimukherjee547@gmail.com,9128955006,Postgraduate,MCA,Computer Applications,Yes,"University of Kerala, Thiruvananthapuram",2024,8.86,No,Python
STU00057,Nitesh Pathak,17,Male,niteshpathak267@gmail.com,9507059676,10th,10th,General,No,"Bhavan's Vidya Mandir, Kochi",2025,7.26,No,Data Science
STU00058,Nilima Ramachandran,20,Female,nilimaramachandran20@gmail.com,9904258674,Undergraduate,B.Tech,IT,Yes,"Mahatma Gandhi University, Kottayam",2026,9.21,No,DevOps
STU00059,Wazir Batra,27,Male,wazirbatra32@gmail.com,9365518424,Working Professional,M.Sc,Data Science,Yes,"University of Kerala, Thiruvananthapuram",2024,8.17,No,Business Analytics
STU00060,Yashasvi D’Alia,24,Female,yashasvid’alia378@gmail.com,9280162221,Undergraduate,B.Tech,ECE,No,College of Engineering Trivandrum,2024,7.46,No,Data Science
STU00061,Dipta Chauhan,20,Female,diptachauhan952@gmail.com,9434961542,Diploma,Diploma,IT,Yes,"Government Polytechnic College, Kozhikode",2025,6.3,Yes,MERN Stack
STU00062,Aadhya Jain,15,Female,aadhyajain714@gmail.com,9929445037,10th,10th,General,No,"Sarvodaya Vidyalaya, Thiruvananthapuram",2026,8.36,No,AI/ML
STU00063,Simon Sahota,21,Female,simonsahota546@gmail.com,9559967386,Undergraduate,B.Tech,Civil,No,Rajagiri School of Engineering and Technology,2026,6.8,No,DevOps
STU00064,Qushi Goswami,22,Female,qushigoswami913@gmail.com,9989817696,Undergraduate,B.Tech,IT,Yes,"Anna University, Chennai",2026,7.7,No,MERN Stack
STU00065,Yug Mannan,26,Male,yugmannan828@gmail.com,9677858758,Postgraduate,M.Sc,Data Science,Yes,"Loyola College, Chennai",2023,7.74,No,Flutter
STU00066,Raagini Ramachandran,22,Male,raaginiramachandran769@gmail.com,9598976917,Undergraduate,B.Tech,IT,Yes,"Government Engineering College, Thrissur",2026,5.62,Yes,React
STU00067,Nitara Narula,20,Male,nitaranarula817@gmail.com,9377403790,Undergraduate,BBA,Business Administration,No,"Maharaja's College, Ernakulam",2026,6.38,No,Python
STU00068,Nidra Chaudhry,25,Female,nidrachaudhry569@gmail.com,9914073098,Undergraduate,B.Sc,Mathematics,No,"Anna University, Chennai",2022,6.81,No,AI/ML
STU00069,Veer Wali,21,Female,veerwali250@gmail.com,9428786222,Undergraduate,B.Tech,CSE,Yes,"TKM College of Engineering, Kollam",2026,6.45,No,Data Science
STU00070,Alka Lala,25,Male,alkalala237@gmail.com,9229553265,Undergraduate,B.Tech,Civil,No,"TKM College of Engineering, Kollam",2020,6.77,No,Business Analytics
STU00071,Guneet Khalsa,25,Male,guneetkhalsa853@gmail.com,9308432166,Undergraduate,B.Com,Commerce,No,"Christ University, Bengaluru",2020,6.69,No,React
STU00072,Gabriel Bhat,21,Female,gabrielbhat890@gmail.com,9908304440,Undergraduate,B.Tech,ECE,No,"Government Engineering College, Thrissur",2026,8.56,No,MEARN Stack
STU00073,Quincy Dasgupta,20,Female,quincydasgupta964@gmail.com,9612957813,Diploma,Diploma,IT,Yes,"Model Polytechnic College, Vadakara",2025,6.16,Yes,Python
STU00074,Chatresh Kunda,25,Male,chatreshkunda122@gmail.com,9699226355,Undergraduate,B.Tech,Civil,No,College of Engineering Trivandrum,2022,7.84,No,DevOps
STU00075,Kashvi Aggarwal,24,Male,kashviaggarwal603@gmail.com,9560452529,Working Professional,M.Sc,Data Science,Yes,"Christ University, Bengaluru",2025,5.88,No,Python
STU00076,Gopal Mannan,21,Male,gopalmannan566@gmail.com,9180600295,Undergraduate,BA,English,No,"St. Albert's College, Kochi",2026,6.02,No,Angular
STU00077,Nihal Mangat,20,Female,nihalmangat704@gmail.com,9350636897,Diploma,Diploma,CSE,Yes,"Government Polytechnic College, Kannur",2025,5.8,No,AI/ML
STU00078,Theodore Menon,22,Male,theodoremenon931@gmail.com,9385220694,Undergraduate,B.Com,Commerce,No,Indian Institute of Technology Madras,2025,5.77,No,Python
STU00079,Tamanna Dayal,20,Male,tamannadayal128@gmail.com,9603260608,Undergraduate,B.Tech,ECE,No,Rajagiri School of Engineering and Technology,2026,7.67,No,DevOps
STU00080,Nicholas Narang,21,Female,nicholasnarang331@gmail.com,9748232591,Undergraduate,B.Sc,Computer Science,Yes,"Mahatma Gandhi University, Kottayam",2026,6.54,No,Data Science
STU00081,Inaya Karpe,23,Female,inayakarpe42@gmail.com,9919382051,Undergraduate,B.Tech,IT,Yes,Rajagiri School of Engineering and Technology,2025,5.84,No,Python
STU00082,Yashoda Kumer,21,Female,yashodakumer357@gmail.com,9538460431,Undergraduate,BBA,Business Administration,No,"St. Albert's College, Kochi",2026,5.8,Yes,Data Science
STU00083,Krish Nagy,29,Male,krishnagy679@gmail.com,9529982328,Postgraduate,M.Sc,Data Science,Yes,"Jain University, Bengaluru",2022,6.81,Yes,React
STU00084,Faraj Gade,20,Male,farajgade891@gmail.com,9682605435,Undergraduate,B.Tech,Civil,No,"Anna University, Chennai",2026,8.74,No,DevOps
STU00085,Indira Pandya,26,Female,indirapandya53@gmail.com,9318568997,Working Professional,M.Sc,Data Science,Yes,"Sacred Heart College, Thevara",2023,7.38,No,Data Science
STU00086,Champak Srinivasan,21,Male,champaksrinivasan163@gmail.com,9433665422,Undergraduate,B.Tech,CSE,Yes,"Jain University, Bengaluru",2026,8.65,No,React
STU00087,Harini Dalal,21,Female,harinidalal853@gmail.com,9265325235,Undergraduate,B.Tech,ECE,No,"Mahatma Gandhi University, Kottayam",2026,6.41,No,DevOps
STU00088,Christopher Dalal,25,Male,christopherdalal944@gmail.com,9743576792,Undergraduate,B.Tech,IT,Yes,"University of Kerala, Thiruvananthapuram",2022,6.79,No,MEARN Stack
STU00089,Girish Solanki,21,Male,girishsolanki841@gmail.com,9102754426,Undergraduate,B.Com,Commerce,No,"Mahatma Gandhi University, Kottayam",2026,6.67,Yes,Testing
STU00090,Anjali Rege,20,Female,anjalirege341@gmail.com,9692616814,Undergraduate,B.Tech,IT,Yes,Cochin University of Science and Technology,2026,5.5,Yes,MERN Stack
STU00091,Manbir Khosla,26,Female,manbirkhosla393@gmail.com,9350785761,Postgraduate,MBA,Business Administration,No,"Anna University, Chennai",2025,6.15,No,Data Science
STU00092,Yashodhara Narayanan,19,Female,yashodharanarayanan988@gmail.com,9139749508,Diploma,Diploma,IT,Yes,"Model Polytechnic College, Vadakara",2026,7.65,No,Flutter
STU00093,Rachit Reddy,25,Female,rachitreddy468@gmail.com,9116479358,Working Professional,M.Sc,Computer Science,Yes,"Mahatma Gandhi University, Kottayam",2024,6.71,No,MERN Stack
STU00094,Sathvik D’Alia,23,Male,sathvikd’alia83@gmail.com,9452794611,Postgraduate,MBA,Business Administration,No,"St. Xavier's College, Mumbai",2026,7.75,No,MERN Stack
STU00095,Qarin Atwal,28,Female,qarinatwal555@gmail.com,9138546365,Working Professional,M.Sc,Data Science,Yes,Indian Institute of Technology Madras,2021,6.49,No,Testing
STU00096,Damini Kar,26,Male,daminikar649@gmail.com,9855797020,Postgraduate,MBA,Business Administration,No,"Madras Christian College, Chennai",2024,7.25,No,Data Science
STU00097,Yug Rana,20,Male,yugrana384@gmail.com,9562446417,Diploma,Diploma,ECE,No,"Model Polytechnic College, Vadakara",2025,6.17,Yes,Python
STU00098,Victor More,26,Female,victormore247@gmail.com,9634366139,Postgraduate,MCA,Computer Applications,Yes,"TKM College of Engineering, Kollam",2026,6.42,No,MEARN Stack
STU00099,Gayathri Verma,28,Male,gayathriverma824@gmail.com,9599561877,Working Professional,MCA,Computer Applications,Yes,Rajagiri School of Engineering and Technology,2022,8.45,No,Data Science
STU00100,Hiral Din,22,Female,hiraldin257@gmail.com,9590523712,Postgraduate,MBA,Business Administration,No,"St. Xavier's College, Mumbai",2026,7.02,No,Business Analytics
STU00101,Yashodhara Parsa,25,Female,yashodharaparsa368@gmail.com,9717199615,Undergraduate,B.Com,Commerce,No,Indian Institute of Technology Madras,2022,8.69,No,Testing
STU00102,Bahadurjit Venkatesh,30,Male,bahadurjitvenkatesh621@gmail.com,9900122509,Working Professional,MBA,Business Administration,No,"University of Kerala, Thiruvananthapuram",2020,7.62,No,Data Science
STU00103,Warhi Wagle,22,Male,warhiwagle195@gmail.com,9766676815,Undergraduate,B.Sc,Mathematics,No,"University of Kerala, Thiruvananthapuram",2025,6.73,No,DevOps
STU00104,Gaurang Das,27,Female,gaurangdas452@gmail.com,9135824891,Working Professional,M.Sc,Data Science,Yes,"Maharaja's College, Ernakulam",2022,5.58,Yes,DevOps
STU00105,Aayush Parsa,18,Female,aayushparsa806@gmail.com,9679184667,12th,12th,Commerce,No,"Government Higher Secondary School, Tripunithura",2026,6.88,No,Data Science
STU00106,Ijaya Varty,22,Female,ijayavarty892@gmail.com,9463692735,Postgraduate,M.Sc,Data Science,Yes,"Loyola College, Chennai",2026,7.79,No,Testing
STU00107,Zehaan Mistry,30,Female,zehaanmistry824@gmail.com,9698409868,Working Professional,M.Tech,CSE,Yes,Rajagiri School of Engineering and Technology,2020,8.24,No,Flutter
STU00108,Christopher Bedi,25,Male,christopherbedi391@gmail.com,9983063850,Undergraduate,B.Tech,CSE,Yes,Cochin University of Science and Technology,2023,8.21,No,AI/ML
STU00109,Radha Tandon,28,Female,radhatandon625@gmail.com,9337691219,Working Professional,M.Sc,Data Science,Yes,"Anna University, Chennai",2021,6.61,No,DevOps
STU00110,Maanas Mallick,19,Male,maanasmallick505@gmail.com,9224683417,Diploma,Diploma,CSE,Yes,"Government Polytechnic College, Kalamassery",2026,7.09,No,Python
STU00111,Pahal Ganguly,20,Female,pahalganguly430@gmail.com,9730651895,Undergraduate,B.Tech,Mechanical,No,National Institute of Technology Calicut,2026,7.15,No,Flutter
STU00112,Krish Shenoy,15,Female,krishshenoy707@gmail.com,9497853519,10th,10th,General,No,"Kendriya Vidyalaya No. 1, Kozhikode",2026,8.53,No,Data Science
STU00113,Girindra Talwar,18,Female,girindratalwar661@gmail.com,9485123110,12th,12th,Commerce,No,"Chinmaya Vidyalaya, Thrissur",2026,7.25,No,Business Analytics
STU00114,Yachana Krishnan,16,Male,yachanakrishnan806@gmail.com,9458102728,10th,10th,General,No,"Kendriya Vidyalaya No. 1, Kozhikode",2026,7.27,No,DevOps
STU00115,Faqid Seshadri,28,Female,faqidseshadri891@gmail.com,9350180427,Working Professional,MCA,Computer Applications,Yes,Indian Institute of Technology Madras,2022,7.64,No,DevOps
STU00116,Pratyush Bobal,18,Male,pratyushbobal677@gmail.com,9127681228,12th,12th,Science,No,"Loyola School, Thiruvananthapuram",2026,8.39,No,AI/ML
STU00117,Liam Krishnamurthy,18,Male,liamkrishnamurthy130@gmail.com,9896413702,12th,12th,Science,No,"Government Higher Secondary School, Tripunithura",2026,7.34,No,Data Science
STU00118,Ansh Chad,25,Female,anshchad45@gmail.com,9880871219,Postgraduate,M.Sc,Data Science,Yes,Cochin University of Science and Technology,2024,8.62,No,MERN Stack
STU00119,Chandran Ahuja,28,Female,chandranahuja412@gmail.com,9557707813,Working Professional,MCA,Computer Applications,Yes,"Anna University, Chennai",2022,6.91,No,DevOps
STU00120,Gavin Dixit,20,Female,gavindixit600@gmail.com,9688793237,Undergraduate,B.Tech,Mechanical,No,"Government Engineering College, Thrissur",2026,6.98,No,Business Analytics
STU00121,Chameli Batra,28,Female,chamelibatra719@gmail.com,9222851168,Postgraduate,MBA,Business Administration,No,"Sacred Heart College, Thevara",2022,7.72,No,Data Science
STU00122,William Mammen,20,Female,williammammen848@gmail.com,9586940738,Undergraduate,BCA,Computer Applications,Yes,"Government Engineering College, Thrissur",2026,5.5,Yes,Python
STU00123,Faqid Kakar,18,Male,faqidkakar946@gmail.com,9609241268,12th,12th,Arts,No,"Loyola School, Thiruvananthapuram",2026,8.12,No,UI/UX Design
STU00124,Harinakshi Chahal,22,Female,harinakshichahal576@gmail.com,9453954673,Undergraduate,B.Tech,Mechanical,No,"Christ University, Bengaluru",2026,6.39,No,DevOps
STU00125,Dakshesh Wagle,20,Male,daksheshwagle361@gmail.com,9211240259,Undergraduate,B.Tech,Mechanical,No,"University of Kerala, Thiruvananthapuram",2026,7.49,No,MEARN Stack
STU00126,Jagvi Kumar,27,Female,jagvikumar286@gmail.com,9716435189,Working Professional,M.Sc,Data Science,Yes,"St. Xavier's College, Mumbai",2022,6.83,No,Data Science
STU00127,Pranav Iyer,18,Male,pranaviyer280@gmail.com,9854517058,Diploma,Diploma,ECE,No,"Government Polytechnic College, Thrissur",2026,6.21,No,React
STU00128,Vedant Narasimhan,19,Male,vedantnarasimhan94@gmail.com,9901131404,12th,12th,Science,No,"Bhavan's Vidya Mandir, Kochi",2026,8.04,No,MEARN Stack
STU00129,Sathvik Mannan,29,Female,sathvikmannan965@gmail.com,9709448939,Working Professional,MCA,Computer Applications,Yes,"Model Engineering College, Kochi",2021,8.66,No,UI/UX Design
STU00130,Pranit Sule,20,Male,pranitsule453@gmail.com,9544726404,Undergraduate,B.Com,Commerce,No,Cochin University of Science and Technology,2026,8.2,No,Business Analytics
STU00131,Yochana Sridhar,24,Female,yochanasridhar540@gmail.com,9816328133,Undergraduate,BBA,Business Administration,No,Indian Institute of Technology Madras,2024,6.76,No,MEARN Stack
STU00132,Aarush Bali,30,Male,aarushbali262@gmail.com,9410791488,Working Professional,MCA,Computer Applications,Yes,"Christ University, Bengaluru",2020,6.91,No,Data Science
STU00133,Dalbir Nadig,20,Female,dalbirnadig573@gmail.com,9994807263,Undergraduate,B.Tech,Civil,No,Cochin University of Science and Technology,2026,6.19,No,Python
STU00134,Anthony Sen,20,Male,anthonysen415@gmail.com,9861818706,Undergraduate,B.Tech,Mechanical,No,Indian Institute of Technology Madras,2026,8.1,Yes,Python
STU00135,Samaksh Bali,26,Male,samakshbali707@gmail.com,9488536370,Working Professional,M.Sc,Data Science,Yes,"Mahatma Gandhi University, Kottayam",2023,6.26,No,Python
STU00136,Radhika Kamdar,20,Male,radhikakamdar342@gmail.com,9936571442,Undergraduate,BA,Economics,No,Indian Institute of Technology Madras,2026,8.9,No,Business Analytics
STU00137,Aishani Bhagat,20,Female,aishanibhagat982@gmail.com,9979339361,Undergraduate,B.Tech,Mechanical,No,"Mahatma Gandhi University, Kottayam",2026,8.13,No,Angular
STU00138,Nicholas Dua,24,Female,nicholasdua975@gmail.com,9929839316,Undergraduate,B.Tech,CSE,Yes,Cochin University of Science and Technology,2024,7.07,No,MEARN Stack
STU00139,Qushi Shankar,24,Male,qushishankar885@gmail.com,9773469560,Undergraduate,BBA,Business Administration,No,"University of Kerala, Thiruvananthapuram",2023,6.14,Yes,DevOps
STU00140,Reva Gandhi,18,Female,revagandhi463@gmail.com,9140380477,12th,12th,Science,No,"Bhavan's Vidya Mandir, Kochi",2026,8.95,No,Python
STU00141,Vedhika Khanna,20,Female,vedhikakhanna609@gmail.com,9644459924,Undergraduate,BCA,Computer Applications,Yes,National Institute of Technology Calicut,2026,8.53,No,MERN Stack
STU00142,Ishani Viswanathan,23,Female,ishaniviswanathan488@gmail.com,9638339044,Undergraduate,BA,English,No,"Mahatma Gandhi University, Kottayam",2024,7.56,No,PHP
STU00143,Edhitha Kala,17,Female,edhithakala662@gmail.com,9285283722,12th,12th,Arts,No,"St. Joseph's Higher Secondary School, Kozhikode",2026,6.96,No,Testing
STU00144,Banjeet Venkataraman,17,Female,banjeetvenkataraman696@gmail.com,9741975062,12th,12th,Commerce,No,"Sarvodaya Vidyalaya, Thiruvananthapuram",2026,6.59,No,DevOps
STU00145,Pahal Dhillon,20,Male,pahaldhillon259@gmail.com,9877103091,Undergraduate,B.Com,Commerce,No,"Anna University, Chennai",2026,6.03,No,UI/UX Design
STU00146,Orinder Keer,20,Male,orinderkeer679@gmail.com,9520861681,Undergraduate,B.Tech,ECE,No,Rajagiri School of Engineering and Technology,2026,6.65,No,Python
STU00147,Zayyan Ramakrishnan,24,Male,zayyanramakrishnan720@gmail.com,9990087914,Postgraduate,MCA,Computer Applications,Yes,"University of Kerala, Thiruvananthapuram",2026,8.79,No,React
STU00148,Pallavi Kamdar,24,Female,pallavikamdar971@gmail.com,9922653967,Undergraduate,B.Tech,Mechanical,No,"Government Engineering College, Thrissur",2024,7.86,No,DevOps
STU00149,Alexander Bala,24,Female,alexanderbala790@gmail.com,9679574436,Postgraduate,MBA,Business Administration,No,"Madras Christian College, Chennai",2026,8.02,No,PHP
STU00150,Sathvik Shankar,25,Male,sathvikshankar640@gmail.com,9968704078,Postgraduate,MCA,Computer Applications,Yes,"Government Engineering College, Thrissur",2025,8.58,No,DevOps
STU00151,Jairaj Minhas,21,Female,jairajminhas292@gmail.com,9907873857,Undergraduate,B.Tech,ECE,No,Cochin University of Science and Technology,2026,6.76,No,AI/ML
STU00152,Radha Sethi,24,Female,radhasethi473@gmail.com,9926178355,Undergraduate,B.Com,Commerce,No,Indian Institute of Technology Madras,2023,6.71,No,React
STU00153,Yamini Mangat,30,Male,yaminimangat257@gmail.com,9156027635,Working Professional,M.Tech,CSE,Yes,"University of Kerala, Thiruvananthapuram",2020,7.15,No,DevOps
STU00154,Teerth Choudhry,26,Male,teerthchoudhry448@gmail.com,9198476695,Postgraduate,MCA,Computer Applications,Yes,Cochin University of Science and Technology,2024,7.59,No,Data Science
STU00155,Ayushman Sastry,18,Male,ayushmansastry406@gmail.com,9639026034,12th,12th,Science,No,"St. Joseph's Higher Secondary School, Kozhikode",2026,8.15,No,DevOps
STU00156,Pallavi Kota,17,Female,pallavikota150@gmail.com,9247746438,12th,12th,Arts,No,"St. Joseph's Higher Secondary School, Kozhikode",2026,7.02,No,Testing
STU00157,Bachittar D’Alia,16,Female,bachittard’alia6@gmail.com,9185068029,10th,10th,General,No,"Bhavan's Vidya Mandir, Kochi",2026,6.78,No,Data Science
STU00158,Avni Bhatnagar,20,Female,avnibhatnagar49@gmail.com,9356022467,Undergraduate,BCA,Computer Applications,Yes,"Model Engineering College, Kochi",2026,8.68,Yes,UI/UX Design
